timestamp_saved,timestamp,type,region_name,totalClients,totalClientsWithoutService,totalClientsWithService,percentageClientsWithoutService,percentageClientsWithService
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,San Juan,253068,143,252925,0.06,99.94
07/21/2023 04:56 AM,07/21/2023 12:55 AM,totals,,1468223,925,1467298,0.06,99.94
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,Carolina,141663,8,141655,0.01,99.99
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,Caguas,250514,141,250373,0.06,99.94
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 04:56 AM,07/21/2023 12:55 AM,region,San Juan,253068,143,252925,0.06,99.94
07/21/2023 05:03 AM,07/21/2023 01:00 AM,totals,,1468223,925,1467298,0.06,99.94
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,Carolina,141663,8,141655,0.01,99.99
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,Caguas,250514,141,250373,0.06,99.94
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:03 AM,07/21/2023 01:00 AM,region,San Juan,253068,143,252925,0.06,99.94
07/21/2023 05:11 AM,07/21/2023 01:10 AM,totals,,1468223,927,1467296,0.06,99.94
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,Arecibo,177369,235,177134,0.13,99.87
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,Caguas,250514,141,250373,0.06,99.94
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:11 AM,07/21/2023 01:10 AM,region,San Juan,253068,143,252925,0.06,99.94
07/21/2023 05:20 AM,07/21/2023 01:20 AM,totals,,1468223,911,1467312,0.06,99.94
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,Arecibo,177369,235,177134,0.13,99.87
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:20 AM,07/21/2023 01:20 AM,region,San Juan,253068,125,252943,0.05,99.95
07/21/2023 05:27 AM,07/21/2023 01:25 AM,totals,,1468223,918,1467305,0.06,99.94
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:27 AM,07/21/2023 01:25 AM,region,San Juan,253068,125,252943,0.05,99.95
07/21/2023 05:33 AM,07/21/2023 01:30 AM,totals,,1468223,918,1467305,0.06,99.94
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:33 AM,07/21/2023 01:30 AM,region,San Juan,253068,125,252943,0.05,99.95
07/21/2023 05:38 AM,07/21/2023 01:35 AM,totals,,1468223,917,1467306,0.06,99.94
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:38 AM,07/21/2023 01:35 AM,region,San Juan,253068,124,252944,0.05,99.95
07/21/2023 05:44 AM,07/21/2023 01:40 AM,totals,,1468223,917,1467306,0.06,99.94
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 05:44 AM,07/21/2023 01:40 AM,region,San Juan,253068,124,252944,0.05,99.95
07/21/2023 05:50 AM,07/21/2023 01:50 AM,totals,,1468223,918,1467305,0.06,99.94
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,Ponce,212508,3,212505,0.0,100.0
07/21/2023 05:50 AM,07/21/2023 01:50 AM,region,San Juan,253068,124,252944,0.05,99.95
07/21/2023 05:56 AM,07/21/2023 01:55 AM,totals,,1468223,918,1467305,0.06,99.94
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,Ponce,212508,3,212505,0.0,100.0
07/21/2023 05:56 AM,07/21/2023 01:55 AM,region,San Juan,253068,124,252944,0.05,99.95
07/21/2023 06:03 AM,07/21/2023 02:00 AM,totals,,1468223,919,1467304,0.06,99.94
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,Ponce,212508,3,212505,0.0,100.0
07/21/2023 06:03 AM,07/21/2023 02:00 AM,region,San Juan,253068,125,252943,0.05,99.95
07/21/2023 06:11 AM,07/21/2023 02:10 AM,totals,,1468223,963,1467260,0.07,99.93
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:11 AM,07/21/2023 02:10 AM,region,San Juan,253068,16,253052,0.01,99.99
07/21/2023 06:22 AM,07/21/2023 02:20 AM,totals,,1468223,963,1467260,0.07,99.93
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:22 AM,07/21/2023 02:20 AM,region,San Juan,253068,16,253052,0.01,99.99
07/21/2023 06:30 AM,07/21/2023 02:30 AM,totals,,1468223,964,1467259,0.07,99.93
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,Carolina,141663,9,141654,0.01,99.99
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,Caguas,250514,144,250370,0.06,99.94
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:30 AM,07/21/2023 02:30 AM,region,San Juan,253068,16,253052,0.01,99.99
07/21/2023 06:37 AM,07/21/2023 02:35 AM,totals,,1468223,964,1467259,0.07,99.93
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:37 AM,07/21/2023 02:35 AM,region,San Juan,253068,16,253052,0.01,99.99
07/21/2023 06:43 AM,07/21/2023 02:40 AM,totals,,1468223,964,1467259,0.07,99.93
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:43 AM,07/21/2023 02:40 AM,region,San Juan,253068,16,253052,0.01,99.99
07/21/2023 06:49 AM,07/21/2023 02:45 AM,totals,,1468223,963,1467260,0.07,99.93
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,Arecibo,177369,242,177127,0.14,99.86
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:49 AM,07/21/2023 02:45 AM,region,San Juan,253068,15,253053,0.01,99.99
07/21/2023 06:55 AM,07/21/2023 02:55 AM,totals,,1468223,964,1467259,0.07,99.93
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 06:55 AM,07/21/2023 02:55 AM,region,San Juan,253068,15,253053,0.01,99.99
07/21/2023 07:01 AM,07/21/2023 03:00 AM,totals,,1468223,964,1467259,0.07,99.93
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:01 AM,07/21/2023 03:00 AM,region,San Juan,253068,15,253053,0.01,99.99
07/21/2023 07:09 AM,07/21/2023 03:05 AM,totals,,1468223,964,1467259,0.07,99.93
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:09 AM,07/21/2023 03:05 AM,region,San Juan,253068,15,253053,0.01,99.99
07/21/2023 07:16 AM,07/21/2023 03:15 AM,totals,,1468223,956,1467267,0.07,99.93
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,Mayaguez,216605,27,216578,0.01,99.99
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:16 AM,07/21/2023 03:15 AM,region,San Juan,253068,7,253061,0.0,100.0
07/21/2023 07:22 AM,07/21/2023 03:20 AM,totals,,1468223,975,1467248,0.07,99.93
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,Bayamon,216496,371,216125,0.17,99.83
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,Mayaguez,216605,29,216576,0.01,99.99
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:22 AM,07/21/2023 03:20 AM,region,San Juan,253068,24,253044,0.01,99.99
07/21/2023 07:28 AM,07/21/2023 03:25 AM,totals,,1468223,976,1467247,0.07,99.93
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,Bayamon,216496,372,216124,0.17,99.83
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,Mayaguez,216605,29,216576,0.01,99.99
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:28 AM,07/21/2023 03:25 AM,region,San Juan,253068,24,253044,0.01,99.99
07/21/2023 07:34 AM,07/21/2023 03:30 AM,totals,,1468223,976,1467247,0.07,99.93
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,Arecibo,177369,243,177126,0.14,99.86
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,Bayamon,216496,372,216124,0.17,99.83
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,Mayaguez,216605,29,216576,0.01,99.99
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:34 AM,07/21/2023 03:30 AM,region,San Juan,253068,24,253044,0.01,99.99
07/21/2023 07:40 AM,07/21/2023 03:40 AM,totals,,1468223,1159,1467064,0.08,99.92
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,Arecibo,177369,426,176943,0.24,99.76
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,Bayamon,216496,372,216124,0.17,99.83
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,Mayaguez,216605,29,216576,0.01,99.99
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:40 AM,07/21/2023 03:40 AM,region,San Juan,253068,24,253044,0.01,99.99
07/21/2023 07:45 AM,07/21/2023 03:45 AM,totals,,1468223,1159,1467064,0.08,99.92
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,Arecibo,177369,426,176943,0.24,99.76
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,Bayamon,216496,372,216124,0.17,99.83
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,Mayaguez,216605,29,216576,0.01,99.99
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:45 AM,07/21/2023 03:45 AM,region,San Juan,253068,24,253044,0.01,99.99
07/21/2023 07:51 AM,07/21/2023 03:50 AM,totals,,1468223,1184,1467039,0.08,99.92
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,Arecibo,177369,451,176918,0.25,99.75
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,Bayamon,216496,372,216124,0.17,99.83
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,Carolina,141663,10,141653,0.01,99.99
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,Caguas,250514,143,250371,0.06,99.94
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,Mayaguez,216605,29,216576,0.01,99.99
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,Ponce,212508,155,212353,0.07,99.93
07/21/2023 07:51 AM,07/21/2023 03:50 AM,region,San Juan,253068,24,253044,0.01,99.99
07/21/2023 07:57 AM,07/21/2023 03:55 AM,totals,,1468223,1185,1467038,0.08,99.92
07/21/2023 07:57 AM,07/21/2023 03:55 AM,region,Arecibo,177369,451,176918,0.25,99.75
07/21/2023 07:57 AM,07/21/2023 03:55 AM,region,Bayamon,216496,372,216124,0.17,99.83
07/21/2023 07:57 AM,07/21/2023 03:55 AM,region,Carolina,141663,11,141652,0.01,99.99
07/21/2023 07:57 AM,07/21/2023 03:55 AM,region,Caguas,250514,143,250371,0.06,99.94
